page,position,amp,images_alt,links_title,heading1,heading2,title,meta_description,opengraph,style,sitemap,rss,script,json_ld,inline_css,microdata,rdfa,robots,gzip,web_ssl,seo_friendly_url,speed,responsive,da,backlinks,linking_domains
https://en.wiktionary.org/wiki/desain,1,✓,,,✓,,✓,,✓,,,,,,,,,✓,✓,✓,✓,1.6,✓,92,1322,12792
https://www.design.com/,2,✓,✓,,,,,,✓,,,,,,,,,✓,,✓,✓,1.5,✓,43,660,6153
https://stock.adobe.com/search?k=desain,3,✓,,,✓,,✓,✓,✓,,,,,,,✓,,✓,✓,✓,,2.0,✓,96,423,14021
https://pt-desain.com/,4,✓,✓,✓,,,,,,✓,,,✓,,✓,,,✓,✓,✓,✓,3.5,✓,6,147,106
https://www.feeldesain.com/,5,✓,,,,,✓,,,,,✓,✓,,,✓,,✓,,✓,✓,3.2,✓,55,748,7006
https://dribbble.com/tags/desain,6,✓,✓,,✓,,✓,✓,,,,,,,,,,✓,,✓,✓,1.4,✓,92,1322,12792
https://www.freepik.com/free-photos-vectors/desain,7,✓,✓,✓,,,,,,✓,,,✓,,✓,,,,,✓,✓,1.5,✓,93,859,13663
https://en.wikipedia.org/wiki/Design,8,✓,,,,,,,✓,,,,,✓,,,,✓,✓,✓,,1.2,✓,97,680,15099
https://www.pinterest.com/mkznihara/top-desain/,9,✓,✓,,✓,,✓,✓,✓,✓,,,,✓,✓,,,✓,✓,✓,✓,2.3,✓,94,824,14143
https://www.google.com/,0,,,,,,,,,,,,✓,,,,,✓,,✓,✓,0.7,✓,100,728,15865
